date,open,close,high,low,amount
2026-03-18,60.71,60.93,60.98,59.35,123314.0
2026-03-19,60.1,59.69,60.86,59.3,88927.0
2026-03-20,60.5,60.79,64.31,60.5,205967.0
2026-03-23,59.72,58.9,61.85,58.31,156814.0
2026-03-24,60.36,64.79,64.79,59.53,277271.0
2026-03-25,69.94,67.35,70.1,65.9,426715.0
2026-03-26,66.81,65.34,68.4,65.06,215320.0
2026-03-27,63.54,65.4,66.97,62.5,217825.0
